##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	F6703_372760_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	24065275
Total Bases	3.6 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	39.45315688268678	40.0	40.0	40.0	40.0	40.0
2	39.62265039564269	40.0	40.0	40.0	40.0	40.0
3	39.62884363465616	40.0	40.0	40.0	40.0	40.0
4	39.68650563934965	40.0	40.0	40.0	40.0	40.0
5	39.68932455581746	40.0	40.0	40.0	40.0	40.0
6	39.659223673945135	40.0	40.0	40.0	40.0	40.0
7	39.66282288484133	40.0	40.0	40.0	40.0	40.0
8	39.64825309496775	40.0	40.0	40.0	40.0	40.0
9	39.65578078787797	40.0	40.0	40.0	40.0	40.0
10-14	39.64226297019253	40.0	40.0	40.0	40.0	40.0
15-19	39.648673701006956	40.0	40.0	40.0	40.0	40.0
20-24	39.64799534599127	40.0	40.0	40.0	40.0	40.0
25-29	39.61623176963489	40.0	40.0	40.0	40.0	40.0
30-34	39.62079198346995	40.0	40.0	40.0	40.0	40.0
35-39	39.62126901936504	40.0	40.0	40.0	40.0	40.0
40-44	39.62178606311376	40.0	40.0	40.0	40.0	40.0
45-49	39.61810440977716	40.0	40.0	40.0	40.0	40.0
50-54	39.59920920080905	40.0	40.0	40.0	40.0	40.0
55-59	39.59546752738125	40.0	40.0	40.0	40.0	40.0
60-64	39.59015705409558	40.0	40.0	40.0	40.0	40.0
65-69	39.56734303680303	40.0	40.0	40.0	40.0	40.0
70-74	39.56522868739294	40.0	40.0	40.0	40.0	40.0
75-79	39.50567585868019	40.0	40.0	40.0	40.0	40.0
80-84	39.49974711695587	40.0	40.0	40.0	40.0	40.0
85-89	39.48541566219376	40.0	40.0	40.0	40.0	40.0
90-94	39.48733111921638	40.0	40.0	40.0	40.0	40.0
95-99	39.453903834466885	40.0	40.0	40.0	40.0	40.0
100-104	39.43868919844049	40.0	40.0	40.0	40.0	40.0
105-109	39.41775360555822	40.0	40.0	40.0	40.0	40.0
110-114	39.40802617879912	40.0	40.0	40.0	40.0	40.0
115-119	39.362432999415134	40.0	40.0	40.0	40.0	40.0
120-124	39.37344767512526	40.0	40.0	40.0	40.0	40.0
125-129	39.34347512754373	40.0	40.0	40.0	40.0	40.0
130-134	39.30050965135449	40.0	40.0	40.0	40.0	40.0
135-139	39.293799900479016	40.0	40.0	40.0	40.0	40.0
140-144	39.26889804500468	40.0	40.0	40.0	40.0	40.0
145-149	39.24847181675672	40.0	40.0	40.0	40.0	40.0
150	39.25846856102829	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1107	105-109	-0.0647243109729132
1107	110-114	-0.06880842997652081
1107	115-119	-0.08288446713707032
1107	120-124	-0.09514202840742314
1107	125-129	-0.13318767206175863
1107	130-134	-0.07941825609679398
1107	135-139	-0.10453960363936687
1107	140-144	-0.1134159937312802
1107	145-149	-0.10773078163818184
1107	150	-0.13757763091893338
1108	1	-0.013700682019504029
1108	2	-0.07532974112499602
1108	3	0.04927286070545023
1108	4	-0.047155277747606306
1108	5	-0.0618368249279726
1108	6	-0.02228364912404146
1108	7	-0.02288086054568339
1108	8	-0.06723935941618464
1108	9	-0.050718747863285785
1108	10-14	-0.024433420093998848
1108	15-19	-0.027985087040413248
1108	20-24	-0.035817426104856054
1108	25-29	-0.03375751560739815
1108	30-34	-0.011237469283564394
1108	35-39	0.004953315032459216
1108	40-44	-0.059605219949027344
1108	45-49	-0.060182508264546186
1108	50-54	-0.039121676667988936
1108	55-59	-0.05431708697515347
1108	60-64	-0.044232493810675066
1108	65-69	-0.03364091092937116
1108	70-74	-0.016799818601384686
1108	75-79	-0.05136529495368336
1108	80-84	-0.05287497916197026
1108	85-89	-0.058873376959908796
1108	90-94	-0.047765641831368555
1108	95-99	-0.0960300651114494
1108	100-104	-0.10812558736198952
1108	105-109	-0.07549322839854966
1108	110-114	-0.10566186337383954
1108	115-119	-0.08682705098115662
1108	120-124	-0.14242788873765733
1108	125-129	-0.06379010291987441
1108	130-134	-0.0947078816795397
1108	135-139	-0.10988761621455012
1108	140-144	-0.11355986944079177
1108	145-149	-0.11000589105772463
1108	150	-0.10183241970790391
1109	1	-0.1208371230077816
1109	2	-0.06725186603342337
1109	3	0.02810501384750097
1109	4	-0.006596414166743614
1109	5	-0.014810096371462578
1109	6	-0.033244219884828397
1109	7	-0.001158556289851731
1109	8	0.00707165357646744
1109	9	0.007102874907985779
1109	10-14	-0.03378697917941764
1109	15-19	-0.01454013040472546
1109	20-24	-0.0229568350410716
1109	25-29	-0.03365038488377792
1109	30-34	-0.03133627044095988
1109	35-39	-0.033300891233309926
1109	40-44	-0.043813399135835596
1109	45-49	-0.06660420233772157
1109	50-54	-0.034114839969412
1109	55-59	-0.03960175714288283
1109	60-64	-0.054000904934483174
1109	65-69	-0.016893197430874807
1109	70-74	-1.3763689030099613E-4
1109	75-79	-0.040741845471451654
1109	80-84	-0.042263853778621296
1109	85-89	-0.07465117116981901
1109	90-94	-0.06881169609959414
1109	95-99	-0.07054118589550029
1109	100-104	-0.05587217034675973
1109	105-109	-0.06766551980936697
1109	110-114	-0.07613591428482636
1109	115-119	-0.067159567874711
1109	120-124	-0.08744441700595473
1109	125-129	-0.08423166648974245
1109	130-134	-0.08591597116723904
1109	135-139	-0.10622509730596619
1109	140-144	-0.13800132730290926
1109	145-149	-0.13094511952847654
1109	150	-0.2545046273910714
1110	1	-0.0690909036097267
1110	2	-0.0038665296319777553
1110	3	-0.016176759745640368
1110	4	-0.03259267050879089
1110	5	-0.025928478998636706
1110	6	-0.009473399305967689
1110	7	0.018551943544778737
1110	8	-0.0089057437368254
1110	9	0.0066489915665641774
1110	10-14	-0.01686100086729425
1110	15-19	-0.0203002266702228
1110	20-24	-0.023293904995398407
1110	25-29	-0.010790849463283791
1110	30-34	0.0025220194392048256
1110	35-39	-0.023057905314253446
1110	40-44	-0.017680274096257165
1110	45-49	-0.04528505549766493
1110	50-54	-0.026371730903704815
1110	55-59	-0.027499608761722527
1110	60-64	-0.036148160171741495
1110	65-69	-0.055827240088873964
1110	70-74	-0.030654782421486004
1110	75-79	-0.04664514369039097
1110	80-84	-0.060778071938180744
1110	85-89	-0.05050246632066546
1110	90-94	-0.05545204456940667
1110	95-99	-0.044854907246310916
1110	100-104	-0.06128569677402851
1110	105-109	-0.06613216817995493
1110	110-114	-0.06617299901675011
1110	115-119	-5.787520105968724E-4
1110	120-124	-0.07045792091498981
1110	125-129	-0.07744347167879084
1110	130-134	-0.07034742070878508
1110	135-139	-0.006012581384858606
1110	140-144	-0.06621246398160707
1110	145-149	-0.11581778589958702
1110	150	-0.07346498824592373
1111	1	-0.063325431484337
